symbol,funding_time,funding_rate,mark_price
ETHUSDT,2021-04-23 16:00:00.001000+00:00,0.0001,
ETHUSDT,2021-04-24 00:00:00.019000+00:00,0.00010335,
ETHUSDT,2021-04-24 08:00:00.001000+00:00,0.00030056,
ETHUSDT,2021-04-24 16:00:00.011000+00:00,0.0001,
ETHUSDT,2021-04-25 00:00:00+00:00,0.0001,
ETHUSDT,2021-04-25 08:00:00.010000+00:00,0.0001,
ETHUSDT,2021-04-25 16:00:00+00:00,0.0001,
ETHUSDT,2021-04-26 00:00:00.003000+00:00,0.0001,
ETHUSDT,2021-04-26 08:00:00.002000+00:00,0.0001,
ETHUSDT,2021-04-26 16:00:00.004000+00:00,0.0001,
ETHUSDT,2021-04-27 00:00:00+00:00,0.0001,
ETHUSDT,2021-04-27 08:00:00+00:00,0.0001,
ETHUSDT,2021-04-27 16:00:00.009000+00:00,0.00040663,
ETHUSDT,2021-04-28 00:00:00+00:00,0.00034144,
ETHUSDT,2021-04-28 08:00:00+00:00,0.00019211,
ETHUSDT,2021-04-28 16:00:00.001000+00:00,0.0001,
ETHUSDT,2021-04-29 00:00:00.004000+00:00,0.0001,
ETHUSDT,2021-04-29 08:00:00.013000+00:00,0.0001,
ETHUSDT,2021-04-29 16:00:00.003000+00:00,0.0001,
ETHUSDT,2021-04-30 00:00:00.004000+00:00,0.00014665,
ETHUSDT,2021-04-30 08:00:00.019000+00:00,0.00011668,
ETHUSDT,2021-04-30 16:00:00.003000+00:00,0.00051157,
ETHUSDT,2021-05-01 00:00:00.002000+00:00,0.0001,
ETHUSDT,2021-05-01 08:00:00.006000+00:00,0.00035155,
ETHUSDT,2021-05-01 16:00:00+00:00,0.00012262,
ETHUSDT,2021-05-02 00:00:00.010000+00:00,0.00023451,
ETHUSDT,2021-05-02 08:00:00.011000+00:00,0.00039722,
ETHUSDT,2021-05-02 16:00:00.007000+00:00,0.0001,
ETHUSDT,2021-05-03 00:00:00.003000+00:00,0.0001,
ETHUSDT,2021-05-03 08:00:00+00:00,0.0001,
ETHUSDT,2021-05-03 16:00:00.043000+00:00,0.00061627,
ETHUSDT,2021-05-04 00:00:00.004000+00:00,0.00031687,
ETHUSDT,2021-05-04 08:00:00.003000+00:00,0.00070707,
ETHUSDT,2021-05-04 16:00:00.011000+00:00,0.00071637,
ETHUSDT,2021-05-05 00:00:00.001000+00:00,0.00038408,
ETHUSDT,2021-05-05 08:00:00.007000+00:00,0.00078274,
ETHUSDT,2021-05-05 16:00:00.001000+00:00,0.00087977,
ETHUSDT,2021-05-06 00:00:00.003000+00:00,0.00068239,
ETHUSDT,2021-05-06 08:00:00.001000+00:00,0.00066648,
ETHUSDT,2021-05-06 16:00:00+00:00,0.00110886,
ETHUSDT,2021-05-07 00:00:00+00:00,0.00026032,
ETHUSDT,2021-05-07 08:00:00+00:00,0.00049147,
ETHUSDT,2021-05-07 16:00:00.001000+00:00,0.00038025,
ETHUSDT,2021-05-08 00:00:00.006000+00:00,0.00047199,
ETHUSDT,2021-05-08 08:00:00+00:00,0.00070136,
ETHUSDT,2021-05-08 16:00:00+00:00,0.00030149,
ETHUSDT,2021-05-09 00:00:00.005000+00:00,0.00058991,
ETHUSDT,2021-05-09 08:00:00.016000+00:00,0.00041522,
ETHUSDT,2021-05-09 16:00:00+00:00,0.00054148,
ETHUSDT,2021-05-10 00:00:00.004000+00:00,0.00068787,
ETHUSDT,2021-05-10 08:00:00+00:00,0.0006638,
ETHUSDT,2021-05-10 16:00:00.013000+00:00,0.00075749,
ETHUSDT,2021-05-11 00:00:00+00:00,0.00041169,
ETHUSDT,2021-05-11 08:00:00+00:00,0.00043204,
ETHUSDT,2021-05-11 16:00:00.002000+00:00,0.00029649,
ETHUSDT,2021-05-12 00:00:00.004000+00:00,0.0001,
ETHUSDT,2021-05-12 08:00:00.007000+00:00,0.00047462,
ETHUSDT,2021-05-12 16:00:00.012000+00:00,0.00054381,
ETHUSDT,2021-05-13 00:00:00.016000+00:00,0.00040983,
ETHUSDT,2021-05-13 08:00:00+00:00,0.00014687,
ETHUSDT,2021-05-13 16:00:00.008000+00:00,0.0001,
ETHUSDT,2021-05-14 00:00:00.007000+00:00,0.0001,
ETHUSDT,2021-05-14 08:00:00.001000+00:00,0.0001,
ETHUSDT,2021-05-14 16:00:00.004000+00:00,0.0001,
ETHUSDT,2021-05-15 00:00:00.022000+00:00,0.00038785,
ETHUSDT,2021-05-15 08:00:00.014000+00:00,0.00052101,
ETHUSDT,2021-05-15 16:00:00.002000+00:00,0.00046056,
ETHUSDT,2021-05-16 00:00:00+00:00,0.00030702,
ETHUSDT,2021-05-16 08:00:00.003000+00:00,0.00013134,
ETHUSDT,2021-05-16 16:00:00.002000+00:00,0.00018829,
ETHUSDT,2021-05-17 00:00:00.005000+00:00,0.00015608,
ETHUSDT,2021-05-17 08:00:00.001000+00:00,0.000335,
ETHUSDT,2021-05-17 16:00:00+00:00,0.0007001,
ETHUSDT,2021-05-18 00:00:00.019000+00:00,0.00018459,
ETHUSDT,2021-05-18 08:00:00.001000+00:00,0.0001,
